"id", "catalog_number", "attributes", "detail_attributes"
"2565612","77677","Width (in):54","Belt Width (in):54|Belt Width (mm):1350|Maximum Belt Tension (PIW):1600|Weight (kg):99.8|Maximum Belt Tension (N/mm):280|Weight (lbs):220.0"
"2565611","77676","Width (in):48","Belt Width (in):48|Belt Width (mm):1200|Maximum Belt Tension (PIW):1600|Weight (kg):94.4|Maximum Belt Tension (N/mm):280|Weight (lbs):208.0"
"2565610","77675","Width (in):42","Belt Width (in):42|Belt Width (mm):1050|Maximum Belt Tension (PIW):1600|Weight (kg):88.9|Maximum Belt Tension (N/mm):280|Weight (lbs):196.0"
"2565609","77674","Width (in):36","Belt Width (in):36|Belt Width (mm):900|Maximum Belt Tension (PIW):1600|Weight (kg):85.3|Maximum Belt Tension (N/mm):280|Weight (lbs):188.0"
"2565608","77673","Width (in):30","Belt Width (in):30|Belt Width (mm):750|Maximum Belt Tension (PIW):1600|Weight (kg):78.9|Maximum Belt Tension (N/mm):280|Weight (lbs):174.0"
"2565607","77672","Width (in):72","Belt Width (in):72|Belt Width (mm):1800|Maximum Belt Tension (PIW):1600|Weight (kg):109.8|Maximum Belt Tension (N/mm):280|Weight (lbs):242.0"
"2565606","77671","Width (in):60","Belt Width (in):60|Belt Width (mm):1500|Maximum Belt Tension (PIW):1600|Weight (kg):101.6|Maximum Belt Tension (N/mm):280|Weight (lbs):224.0"
"2565605","77670","Width (in):54","Belt Width (in):54|Belt Width (mm):1350|Maximum Belt Tension (PIW):1600|Weight (kg):95.3|Maximum Belt Tension (N/mm):280|Weight (lbs):210.0"
"2565604","77669","Width (in):48","Belt Width (in):48|Belt Width (mm):1200|Maximum Belt Tension (PIW):1600|Weight (kg):89.4|Maximum Belt Tension (N/mm):280|Weight (lbs):197.0"
"2565603","77668","Width (in):42","Belt Width (in):42|Belt Width (mm):1050|Maximum Belt Tension (PIW):1600|Weight (kg):84.3|Maximum Belt Tension (N/mm):280|Weight (lbs):186.0"
